id,name
justmoney_bttc,Justmoney (Bittorent)
justmoney-tron,JustMoney (Tron)
kaiaswap-klaytn,KaiaSwap
kaidex,Kaidex
kaidex_v3,Kaidex V3
kaleidoswap-arbitrum,KaleidoSwap (Arbitrum)
kanga,Kanga
karura_swap,Karura Swap
katana,Katana
katana-v3,Katana V3
kava,Kava Swap
kayen,KAYEN
kcex-futures,KCEX (Futures)
kewlswap-chiliz-chain,KEWLSwap (Chiliz Chain)
kickex,KickEX
kiloex-bsc,KiloEx (BSC)
kiloex-manta-pacific,KiloEx (Manta Pacific)
kiloex-opbnb,KiloEx (opBnb)
kim,Kim
kim-v4,Kim V4
kine-protocol-derivatives,Kine Protocol (Derivatives)
kine-protocol-spot,Kine Protocol (Spot)
kinesis_money,Kinesis Money
kinetix-v3,Kinetix V3
kittenswap,Kittenswap
klayswap,KLAYSwap
klayswap-v3,Klayswap V3
klever_exchange,Bitcoin.me
knightswap,KnightSwap
kodiak-v2,Kodiak V2
kodiak-v3,Kodiak V3
kodo-exchange,Kodo Exchange
koi-finance-v3,Koi Finance V3
koinbazar,KoinBX
koinpark,Koinpark
komodo_wallet,Komodo Wallet
korbit,Korbit
kraken,Kraken
kraken_futures,Kraken (Futures)
kriya-dex,Kriya
ktx_finance_arbitrum_derivatives,KTX.Finance (Arbitrum)
ktx_finance_bsc_derivatives,KTX.Finance (BSC)
ktx_finance_mantle_derivatives,KTX.Finance (Mantle)
kucoin,KuCoin
kujira,Kujira Fin
kumex,KuCoin Futures
kuswap,Kuswap
kyberswap_classic_arbitrum,Kyberswap Classic (Arbitrum)
kyberswap_classic_avalanche,KyberSwap Classic (Avalanche)
kyberswap_classic_bsc,KyberSwap Classic (BSC)
kyberswap_classic_bttc,Kyberswap Classic (Bittorent)
kyberswap_classic_ethereum,KyberSwap Classic (Ethereum)
kyberswap_classic_fantom,KyberSwap Classic (Fantom)
kyberswap_classic_optimism,Kyberswap Classic (Optimism)
kyberswap_classic_polygon,KyberSwap Classic (Polygon)
kyberswap_elastic,KyberSwap Elastic (Ethereum)
kyberswap_elastic_arbitrum,Kyberswap Elastic (Arbitrum)
kyberswap_elastic_avalanche,Kyberswap Elastic (Avalanche)
kyberswap_elastic_bsc,Kyberswap Elastic (BSC)
kyberswap_elastic_fantom,Kyberswap Elastic (Fantom)
kyberswap-elastic-linea,Kyberswap Elastic (Linea)
kyberswap_elastic_optimism,Kyberswap Elastic (Optimism)
kyberswap_elastic_polygon,Kyberswap Elastic (Polygon)
kyo-finance-v3,Kyo Finance V3
laminar,Laminar
larissa-swap,Larissa Swap
laserswap,LaserSwap
latoken,LATOKEN
lbank,LBank
lbank-futures,LBank (Futures)
lcx,LCX Exchange
leetswap-base,LeetSwap (Base)
leetswap-linea,LeetSwap (Linea)
levana-perps-osmosis,Levana Perps (Osmosis)
levinswap_xdai,Levinswap (xDai)
lfgswap,LFGswap
lfgswap-core,LFGSwap (Core)
libre_swap,Libre Swap
lif3,LIF3 (Tombchain)
lif3-bsc,LIF3 (BSC)
lif3-ethereum,Lif3 (Ethereum)
lif3-polygon,LIF3 (Polygon)
lif3-v3-bsc,Lif3 V3 (BSC)
lif3-v3-fantom,Lif3 V3 (Fantom)
lif3-v3-polygon,Lif3 V3 (Polygon)
line-hub-v3,Line Hub V3
liquidswap,Liquidswap
liquidswap-v0-5,LiquidSwap V0.5
localtrade,LocalTrade
loopring,Loopring
loopring_amm,Loopring AMM
luno,Luno
lydia_finance,Lydia Finance
lynex-linea,Lynex
lynex-v2-linea,Lynex V2 (Linea)
magic_eden_runes,Magic Eden (Runes)
magicsea-iota-evm,MagicSea (Iota EVM)
magicsea-v2-1-iota-evm,MagicSea V2.1 (Iota EVM)
magicswap,Magicswap
maiar,xExchange
makiswap,Makiswap
mangata,Mangata
manifest,Manifest
marginx-pundi,MarginX (Pundi)
mars_ecosystem,Mars Ecosystem
marswap,MARSWAP
marswap-cronos-zkevm,MarSwap (Cronos zkEVM)
matcha_arbitrum_one,Matcha (Arbitrum One)
matcha_avalanche,Matcha (Avalanche)
matcha_base,Matcha (Base)
matcha_bsc,Matcha (BSC)
matcha_ethereum,Matcha (Ethereum)
matcha_optimism,Matcha (Optimism)
matcha_polygon,Matcha (Polygon)
maverick_protocol,Maverick Protocol V1 (Ethereum)
maverick_protocol_base,Maverick Protocol V1 (Base)
maverick_protocol_bsc,Maverick Protocol V1 (BSC)
maverick-protocol-scroll,Maverick Protocol V2 (Scroll)
maverick-protocol-v2-arbitrum,Maverick Protocol V2 (Arbitrum)
maverick-protocol-v2-base,Maverick Protocol V2 (Base)
maverick-protocol-v2-bsc,Maverick Protocol V2 (BSC)
maverick-protocol-v2-ethereum,Maverick Protocol V2 (Ethereum)
maverick-protocol-v2-zksync-era,Maverick Protocol V2 (zkSync Era)
maverick_protocol_zksync,Maverick Protocol V1 (zkSync)
max_maicoin,Max Maicoin
maya-protocol,Maya Protocol
mdex,Mdex
mdex_bsc,Mdex BSC
megaton-finance,Megaton Finance
melegaswap,MelegaSwap
mercado_bitcoin,Mercado Bitcoin
merchant-moe-liquidity-book-mantle,Merchant Moe Liquidity Book (Mantle)
merchant-moe-mantle,Merchant Moe
merlinswap,MerlinSwap
meshswap,Meshswap
metalx,Metal X
meteora,Meteora
methlab,Methlab (Mantle)
metropolis-dlmm-sonic,Metropolis DLMM (Sonic)
metropolis-sonic,Metropolis Simple (Sonic)
